backend,shards,workers,process,throughput_acks_s,claim_p99_ms,loop_p99_ms,loop_samples,min_backlog,max_backlog,saturated,enqueued,acked,lease_expired
valkey,2,1,200ms,8,0.50,10000.00,0,145622,157370,true,0,98,299
valkey,2,10,200ms,60,20.00,20000.00,0,172412,174825,true,0,716,997
valkey,2,100,200ms,188,10.00,20000.00,0,174795,174834,true,0,2256,10
valkey,2,300,200ms,1672,10.00,20000.00,0,174344,174511,true,0,21145,100
valkey,2,1000,200ms,5894,20.00,20000.00,0,173642,174065,true,0,71078,300
valkey,4,1,zero,2470,20.00,100.00,0,36859,56600,true,0,49161,0
valkey,4,10,zero,25725,20.00,100.00,0,65724,78629,true,0,523734,0
valkey,4,30,zero,60011,50.00,100.00,0,81258,85072,true,0,1189298,1
valkey,4,100,zero,101854,50.00,200.00,0,73981,80790,true,0,2030857,10
valkey,4,300,zero,129261,100.00,500.00,0,53517,65711,true,0,2562129,26
valkey,4,1000,zero,142141,500.00,1000.00,0,27936,42562,true,0,2814443,91
valkey,4,1,2ms,404,20.00,200.00,0,41160,61148,true,0,8076,284
valkey,4,10,2ms,3774,20.00,500.00,0,72889,90440,true,0,74585,892
valkey,4,30,2ms,10952,50.00,500.00,0,100221,114334,true,0,218038,1
valkey,4,100,2ms,35851,50.00,500.00,0,119501,127328,true,0,710773,10
valkey,4,300,2ms,87216,100.00,500.00,0,120006,124377,true,0,1712917,30
valkey,4,1000,2ms,131358,500.00,1000.00,0,96252,110730,true,0,2590821,97
valkey,4,1,20ms,47,20.00,2000.00,0,108528,127457,true,0,955,298
valkey,4,10,20ms,469,20.00,2000.00,0,140781,160030,true,0,9155,975
valkey,4,30,20ms,1414,20.00,2000.00,0,173731,191769,true,0,27762,1
valkey,4,100,20ms,4775,50.00,2000.00,0,205049,222108,true,0,92330,10
valkey,4,300,20ms,14466,50.00,2000.00,0,233284,247592,true,0,278116,30
valkey,4,1000,20ms,47760,50.00,2000.00,0,253146,258197,true,0,910938,100
valkey,4,1,200ms,8,1.00,10000.00,0,272419,290883,true,0,91,300
valkey,4,10,200ms,64,20.00,20000.00,0,321188,339924,true,0,763,999
valkey,4,30,200ms,188,5.00,20000.00,0,348367,350192,true,0,2253,10
valkey,4,100,200ms,619,10.00,20000.00,0,350092,350211,true,0,7428,30
valkey,4,300,200ms,1665,10.00,20000.00,0,349758,350283,true,0,21378,100
valkey,4,1000,200ms,6033,20.00,20000.00,0,348968,349413,true,0,72930,300
postgres-tuned,1,1,zero,10037,1.00,5.00,0,0,498,false,0,247702,0
postgres-tuned,1,10,zero,8423,5.00,20.00,0,0,1149,false,0,149286,0
postgres-tuned,1,30,zero,8284,20.00,50.00,0,0,1984,false,0,142704,1
postgres-tuned,1,100,zero,7652,100.00,200.00,0,0,1424,false,0,132273,0
postgres-tuned,1,300,zero,7782,200.00,500.00,0,0,1232,false,0,133332,0
postgres-tuned,1,1000,zero,7268,500.00,1000.00,0,0,539,false,0,127188,0
postgres-tuned,1,1,2ms,441,2.00,200.00,0,1287,3738,true,0,8897,2
postgres-tuned,1,10,2ms,4302,2.00,200.00,0,4371,5447,true,0,85322,21
postgres-tuned,1,30,2ms,12517,5.00,200.00,0,3749,4856,true,0,249526,1
postgres-tuned,1,100,2ms,7971,50.00,500.00,0,0,459,false,0,293528,10
postgres-tuned,1,300,2ms,7968,100.00,500.00,0,0,1105,false,0,135597,30
postgres-tuned,1,1000,2ms,7070,500.00,1000.00,0,0,298,false,0,123886,18
postgres-tuned,1,1,20ms,48,5.00,2000.00,0,1339,3993,true,0,961,10
postgres-tuned,1,10,20ms,466,20.00,2000.00,0,5490,7605,true,0,9267,36
postgres-tuned,1,30,20ms,1436,50.00,2000.00,0,9000,10751,true,0,28129,1
postgres-tuned,1,100,20ms,4862,50.00,2000.00,0,11567,12468,true,0,94527,10
postgres-tuned,1,300,20ms,14672,100.00,2000.00,0,9905,11533,true,0,282638,30
postgres-tuned,1,1000,20ms,31799,500.00,2000.00,0,0,5242,false,0,624015,100
postgres-tuned,1,1,200ms,5,2.00,0.05,0,1620,4409,true,0,62,300
postgres-tuned,1,10,200ms,56,50.00,20000.00,0,6255,8736,true,0,670,149
postgres-tuned,1,100,200ms,180,50.00,20000.00,0,12066,14442,true,0,2156,11
postgres-tuned,1,300,200ms,1629,100.00,20000.00,0,23146,25144,true,0,22343,94
postgres-tuned,1,1000,200ms,5386,500.00,20000.00,0,27726,28807,true,0,72435,306
